,text,Type
10,"My Take: Simply magical, down to the last computer-animated detail. I was at least 13 or 14 years old when this came out, and only now am I reviewing it. But that can't stop me, I have to lay out my sentiments for this clever and occasionally brilliant animated achievement. Not only is it the best, so far, in Pixar's portfolio of animated films, it's one of the very best animated films ever made, period. FINDING NEMO is a well-told fairy tale adventure, but a well-told story is only a bonus compared to the film's awesome look and feel. The movie is visually stunning, with images that flow like living paintings, some of which almost but leaps out the screen. The movie is beautifully crafted, and sometimes, I almost didn't care about anything else. Almost.On the contrary, the story is quite simple. After a tragedy introduced in the opening scenes, Marlin the clown fish (voiced by Albert Brooks) becomes too over-protective of his last son Nemo (voiced by Alexander Gould). Every move he makes is always under the watchful eye of his over-protective father, who couldn't afford to lose him. To prove that he can walk with his own two feet (or is that swim with his own fins?), Nemo approached an anchored divers boat and is abducted by two curious divers and taken far off the Great Barrier Reef. Marlin, guilty for his loss, is determined to find his son, captured by a dentist and placed inside a too-small-for-a-fish aquarium in the dentist's clinic. Along his side is a joyous yet forgetful fish named Dory (voiced by Ellen DeGeneres) who gives a helping fin a long the way, whatever she can remember.This is quite an adventure too. Not only are we introduced to a closer-than-life-like reef, we are also introduced with a clever and elaborate band of characters, including a trio of sharks who swore their lives to be vegetarians (until the call of the wild kicks in), a couple of surfer-dude turtles, a charade-playing school of fish and many other wonders. The animation here is, by far, the most brilliant ones I have ever seen. A colorful and life-filled reef, a forest of jellyfish and a crystal-clear aquarium filled of plastic ornaments have never looked more pristine in this lavish and elaborate adventure. But other than its brilliant design which is considerable enough to recommend the picture, the film is not without a good story, and it is told well. The characters have a great deal of features and characteristics. This is most evident on the character of Dory, who not only has the showmanship of the voice who dubbed her, but also the delight we expect from a true family film.If the story may not apply to you, or you might find it clichأ©, then FINDING NEMO will still do as a brilliant eye-candy, with one of the best sights I have ever seen in an animated film then and now. Sometimes, sitting in front of a theater or even the small screen and just let the elaborate visuals flow right through you is more than enough to see a movie. Sometimes it's a movie like this one that reminds you the fun that going to movies are.Rating: ***** out of 5.",positive
11,"I am not an Animation fan and always just avoid watching it.But after watching this, I fall in love with animated movies.It was quite interesting seeing fishes
daily life though I know it's not real but somehow I am just mesmerised by it.I never think about what fishes do, do they study,do they really live in fear,who oppress them bla bla. And how the father find it's son was quite interesting. The aquarium incident leaves me really believe tbat do they really did that in real lifeًں¤£",positive
12,"If Walt Disney was alive today, he would be proud of Michael Eisner. Building an alliance with Pixar and distributing Pixar's genius speaks well of the good chairman.I guess I was not surprised that(at the advanced screening of the new Pixar/Disney flix,) ""Finding Nemo"" would be brilliant. Entertaining my 5 1/2 year old child, my wife and I, ""Nemo"" made for a great family event. Yes, my son will make sure I pay for a second showing... and you know, I will gladly do so.I guess, all tolled, this animated movie should make $250 million easy. Perhaps $300 million... Okay, let's go for it! $366 million.Enjoy.",positive
13,"""Finding Nemo"" is a story of a clown fish named Marlin losing his son Nemo. This movie is about friendship and how friends can help you accomplish the hardest things in life. ""Finding Nemo"" is story written and directed by Andrew Stanton, produced by Pixar Animation Studios and released by Walt Disney Pictures in 2003. Finding Nemo is about a clown fish named Marlin looking for his captured son Nemo. In this journey, Marlin meets a blue tang fish named Dory. Dory is a fish that is suffering from memory loss, but she helps Marlin find Nemo. Both Marlin and Dory face great danger, and hard situations in this journey. Meanwhile, Nemo is trying really hard to find a way to get out of the dentist's fish tank and find his way to the open sea in search of his father. But it's not that easy when you have Darla the fish killer (the little girl with the braces). ""Finding Nemo"" is a great Animated Movie. The movie uses amazing shades and colors, great sound effects, and amazing camera angles. In the scene where the diver pops up in front of the screen is amazingly realistic, it makes the audience feel like they are the ones in the movie. It also makes the audience feel like they are the clown fish when a huge human face pops up in front of the camera; the audience would feel small and also panic like Nemo. The director of the movie (Andrew Stanton) did an amazingly great job at animating the movie and adding scenes that will make the audience feel what the characters are feeling.The theme of the movie is there throughout the whole movie, but the audience realizes it near the end of the movie. The theme of the movie is friendship, and Marlin was able to accomplish his goal when Dory helped him through all the danger they faced. Another place friendship was used was when Nemo was captured in the fish tank in the doctor's office, where Nemo's friends saved his life from getting flushed down the toilet.""Finding Nemo"" is one of the BEST animated movies Pixar Animation Studios made. I strongly recommend for everyone to watch this movie. This movie would make you feel like you are in the movie and not watching the movie.10/10",positive
14,"Pixar has done it again! That is a phrase we have become accustomed to hearing these past few years. Pixar Animation Studios has taken the children's movie industry by storm. Andrew Stanton takes us head first into the beautiful, strangely bewildering, world of the big blue ocean with Finding Nemo. We expected children to be captivated by this new installment of children's animation, but parents are also catching the wave as well. This isn't just some fish tale! Okay, well maybe it is. Marlin (voiced by Albert Brooks) is a paranoid, highly overprotective clown fish. His son Nemo (voiced by Alexander Gould) is a young child full of energy, enthusiasm, with a dash a rebellion thrown in there. Nemo was left crippled at birth after an attack that took his mother and all of his siblings. This leaves NEmo with a deep desire to be independent. This is shown while on a school field trip. Nemo, trying to show off to some friends swims out into open waters. A pair of divers come from the darkness and kidnap Nemo. Marlin, with the help a newly found and hilariously forgetful friend Dory (voiced by Ellen DeGeneres) start the adventure to save the only thing that he has left in this world. Little did they know Marlin and Dory will run into all sorts of roadblocks along the way. They encounter sharks that have sworn off eating fish, a horrifying Angler Fish, a bale of sea turtles, and a forest of jellyfish. All of this just to track down his son. That's what I call being a good dad! Finding Nemo is the perfect mixture of a great story, witty comedy, and enticing animation. The bright colors of the underwater world are extravagant. The dialogue keeps viewers entertained and laughing. While the depth of the story of a father losing his son hooks them in for good. This tale is fit for all, young and old. When a child sits down to watch this movie, they can relate to Nemo. A young child looking to do his own thing and go on some adventures. Nemo grows along the course of the film. He goes from being a rebellious little punk, to someone who understands the importance of family and how much his father loves him. As Nemo grows, any child who watches him grows as well. This is one of many reasons why this is a fantastic movie for children. As Pixar will continue to reel in fantastic stories every year, Finding Nemo will go down as one of their greatest hits. Children and parents are flocking to this new spectacle. This thrilling tale will warm the hearts of fathers everywhere who care for their children. Although Marlin could be a little extreme at times, it was very clear that he would do anything for his Son. I believe I echo the words of everyone saying that we want more from Pixar.",positive
15,"Finding Nemo is Pixar's crown jewel and one of the best animated movies of all time! They create an entire world under water, it looks beautiful, but it also captures the scarier things below the surface. Together, Dory and Marlin travel the Atlantic ocean in search for Nemo and along they way they run into some of the most bizarre characters imaginable! The audience is in the same position as Marlin, he is exploring the ocean for the first time, just like us as the audience, and it is intoxicating. The ocean to most people is a giant, wonderland full of mystery and you never know what you will run into, and Pixar takes full advantage of that as we meet a variety of characters. Along the way, we are given the treat of having some amazing comedy bits as characters cultures clash amongst one another. But even as we travel across the ocean and back, the core of the story never leaves us, it's a love story about a father and son and it is an emotional roller-coaster. They brilliantly take the most notorious fish movie, Jaws (which made the ocean seem terrifying), and turns it upside down, making the water now seem like a wonderful land full of amazing creatures. Finding Nemo is the epitome of Pixar's imagination and creative abilities, they have made an eternal classic here.Let's hope the sequel lives up to the first film!",positive
16,"toughest job for me is creating emotions in animation. Lot of hard work by writer, director, visualizer, graphic designer. Detailing of characters,creating of emotions in animation r simply excellent. Gipping direction. excellent production quality , excellent story line, excellent characterization. moral boosting story, positive touch , enjoyable for family members of all ages. music, pace of story, flow of story is done with mush workout, director work is appreciated ...everything worked out till perfection at to exhaustive limit.one feels involved the characters where as the are non humans, infect simply animation .expression of characters in animations workout involves u Just excellent",positive
17,"When I grew up, I always thought the concept of Pixar movies was ""what would life be like as a ____"" Toys were fun, Monsters in the cupboard were fun, bugs were fun, and now we landed on fish. And I loved it because it was colourful and funny and touching.Now, watching Finding Nemo with all I know about film, I am able to understand how brilliant early Pixar was. Every one of these early films has two ""whats life like as"" - one for kids (toys, bugs, monsters) and one for adults. In Finding Nemo, its ""what life is like as an overprotective parent."" Finding Nemo is one of the most beautiful stories that can appeal to families that I've ever seen.The film opens with one of the most downright upsetting moments I ever watched as a child. Albert Brooks' perfect voice casting really captures the grief and desperation that Marlin feels, and it so perfectly sets the stage for the rest of the film. Every one of Marlin's overprotective scenes is not completely justified, but so believable to come from him. We also enjoy Ellen DeGeneres' delightful sidekick Dory, who is absolutely hilarious and charming and I could not love her presence more. As Marlin and Dory set out on the titular quest, Pixar does what Pixar does best - gives us a funny and wondrous understanding of their universe. A gang of sharks are recovering addicts from fish flesh. Seagulls are sadistic and brainless. A group of sea turtles are perpetually high. Throughout each of the encounters, not only does Marlin learn more about the ocean he has been afraid of for so long, but he learns about how his overprotective parenting isn't going to help Nemo forever, and he's better off learning to take care of himself wherever he can.Meanwhile, Nemo is confined in a dentist's tank with a gaggle of kooky fish characters, each of whom has their own little ticks because of their confinement (a beautiful little addition to the story). Emmy king and queen Brad Garrett and Allison Janney are hilarious and even funnier is the addition of Academy Award winner Geoffrey Rush, who pops in as a Pelican taking an interest in dental hygiene. The film's story is so perfectly constructed that I can't fault it. The catalyst moments are spread out by moments of character development and sprinkled with perfect doses of humour. Even the final challenge doesn't come across as ""just one more obstacle"" but provides closure on Marlin's overparenting and provides his first real test. Thomas Newman's serene score keeps things moving along at a beautiful pace, and the animation is as superb as anything we've come to expect from Pixar.Finding Nemo is just a delight, pure and simple. Its a lesson to kids and parents alike, but its also so colourful and funny that its a fun watch just when you're feeling flat. Perfect for all occasions.",positive
18,"Having watched this movie back when I was in my 8/9 years of age, Finding Nemo struck me as a very funny movie and I, of course, loved Dory and her quirkiness. Over time I began to appreciate the emotional impact of the story and the detail that went into the animation process, which in turn led to the establishment of this movie as my favorite of all time. Having only been surpassed three years ago by Toy Story 3 (another Pixar gem), Finding Nemo still holds a strong impression on me, as well as remaining one of my top 10 movies and my second favorite animated movie.The plot follows a clown fish named Marlin, that after his son is taken by a human, sets out on a dangerous and treacherous journey to get him back. Along the way he will meet Dory, a blue fish that suffers from short term memory loss. Together they will stop at nothing to get to Nemo, Marlin's son, who along with a group of ragtag aquarium fish will also plan to escape to the ocean in order to avoid a bratty, but, deadly child and get back to his dad.So like I said, there 3 reasons why I love this movie. The first one is the comedy, provided mostly by the goofy sidekick Dory, as well as other characters. The combination of the smart script, plus the voice talent involved makes for the great comedic side of Finding Nemo. The other great quality of the script, is the emotional turmoil that ensues in the movie, and personally I believe that some parents might resonate with it most, even though I myself do not know this reality. Finally Pixar proves why they are the top of the animation game, by assembling the proper research and creating a great oceanic world, as well as the Sydney landscape.Finding Nemo will forever be a cinematic mark in my cinematic history. It is a funny, energetic and entertaining picture, and that is all I can ask from a movie like this. Rating: 10/10",positive
19,"Finding Nemo is the heroic tale of fishes, and it's excellent. It opens up with a tragedy and quickly leads us to a great adventure and multiple acts of courage. Who would have thought that such a simple idea could result in such a great production?The animation is extremely colorful, brought to us in great details for a breathtaking look at the life under the sea. The dialogs are funny. The script is very inventive and doesn't call on evil or songs. The story is riveting, with each scene a novelty in itself. Voices are chosen to perfection, and the reactions realistic.A great movie for both adults and kids.",positive
20,"Finding Nemo is one of a series of Pixar animation features made in past decade or so and is probably the best of the lot. My three year old watches the DVD at least twice a week and doesn't show any sign of getting tired. The reason is obvious - Finding Nemo creates a complete under the sea world inhabited by creatures with complete personalities.The plot has Marlin, a clown fish, losing his only child Nemo (named after Capt.Nemo of 20,000 leagues under the the sea) to a deep sea diver. While Nemo is stuck in a fish tank in a dental office with lots of other interesting characters, Marlin sets out to find his son. On the way, a crazy blue fish called Dory joins him and turns this into something of a buddy movie (although Dory is female)......There are lots of jokes peppered throughout the movie with Dory supplying a large chunk of them. Writer-director Stanton plays a 'dude' 150 year old sea turtle straight from the 60's and adds to the fun. The visuals are superb, storyline is great and it all makes for a great adventure. I rate this 9/10 because I'm a little sick and tired of seeing it on the DVD every weekend for over a year now!!",positive
21,"There is nothing I can say about the movie that has never been told before. The music was great, the voices were great, the scenario and direction was magnificent. A fascinating story, made by the creators of masterpieces, Pixar...If I could, I would talk about this movie forever, or until I run out of words and adjectives. The story is funny and touching when it's necessary. It made me laugh out loud and even cry for a second. Fantastic. A must-see! Excellent work by the musicians and the director. That's just it. If I go on, I will get on your nerves as I am extremely enthusiastic about this movie. THE movie, actually.",positive
22,"Finding Nemo is a very good animated film, probably it's in the top 10 animated features of all time. The story is about a little clown fish named Nemo. He ventures out into the open sea while not listening to his father. He gets captured by a dentist and now his father, marlin has to save him from the clutches of the dentist and his ""evil"" niece. The story of the film is unbelievable. I don't know how a movie about a fish can be very popular. The voice acting is pretty good. The all-star cast did a great job voicing their characters. The music in this film is sweet. The music will lure you more into the movie. The song in the film is great for people who like music 40 years ago. Once again, Pixar did not fail in its ability to make classic animated films. Overall, this is a very good film. I rate this movie 10/10.",positive
23,great two thumbs up it is cool you will like this movie so much it is one funny movie it is cute it is one of those good movie that you have to go see it is wonderful i love this movie a lot and so will you it is just a really good movie too watch i like it a lot and i know you will like it too it is one good movie that the whole family will enjoy it mane in 2003 but it is still a really good movie i laugh my pants off it was so funny you will like it a lot it is one good movie it is a little bit scary but it is still a really good movie that you will like it is a hoot it is the bomb it is the best movie i have ever seen for animated movies pixar movie are the best movie it is a really good movie you will say wow when it is over it is a masterpiece it is a winner it should get a standing ovation it is a masterpiece it is one cool movie that you can not miss it is a knockout it is great a masterpiece,positive
24,"This is one of the best movies from Pixar , and also one of the best movies for kids of the recent years . The story it's very simple but the wonderful thing of the movie it's how it is developed : All the characters are very funny and likable ,the story it's dynamic and full of funny parts , the script it's very well made ,something that made it good for kids and adults by equal . The visual style of the movie it's wonderful ,all the characters and the sceneries are full of details and colors . Of course ,the animation isn't everything and Pixar proof again that all is in the plot . I liked a lot this movie .i recommend it to everybody ,kids or adults .",positive
25,"I really enjoyed this movie from day one. I can't help but to find myself watching 'NEMO"" every now and again. This movie has a great story line, and will keep you anxious based on the characters. I will have to say that ""DORI"" played by the wonderful Ellen DeGeneres would be my favorite character in the whole movie. I love how comedic she is. She is clumsy, forgetful, and well you will just have to watch the movie to really she how funny she is. This movie is perfect for all ages, I'm 19 and I still watch it. I can't tell you how excited I am for the movie ""Finding Dori""to come out. I would recommend this movie to anyone. Definitely a 10/10.",positive
26,"Pixar makes the best animated films and Finding Nemo is one more jewel in their crown. Like most Pixar movies, Finding Nemo too deals with universal themes آ– parenting, father-son relationship & friendship. With his crisp, funny & sometimes thought-provoking dialogues, director Andrew Stanton takes you on an adventure ride under the rich and colorful sea full of interesting creatures. This movie is so engrossing that you sometimes forget it is just an animation, especially when you see animated characters display genuine human emotions. Dory is the most unforgettable character I've come across in animated movies. Other characters too remain etched in your memory long after you've seen the movie. This movie certainly deserves a spot among the top movies of this century.",positive
27,"God bless Pixar. I am not really religious, but for Pixar, I'll convert. Because they are the precious few, part of the species of that rare kind of filmmakers who necessarily have to check out every detail, every bit and particle of their work, and necessarily turn all of them into sheer brilliancy. Today, Pixar has accostumed us to a pattern of quality beyond measure, not only because their work needs special attention but also because the technical part is only a vessel to something much important: a heart. And since every Pixar film requires half a life and half a soul to make from each and everyone of its founding craftsmen, the results are so exquisite and unique that no other movie can be compared to them. One may wonder about their ""secret"". No secret. Just real feeling and love to their job. ""Finding Nemo"" is the new crowning jewel in Pixar's flawless hall of fame, again a movie based on the buddy formula we love so much, this time in a whole new world: the ocean depths. And the prospect of doing a movie in this setting is probably something for the Pixar artists to drool on: just imagine all the quirky ideas they can have in this unexplored realm. And they deliver, big time. Once more, the filmmakers never opt for the obvious, delivering always the right choices, always turning the right way, and once more transforming all of us mere viewers into big children, just marvelling into the beautiful sights and sounds of the big blue. And they make us travel into all aspects of the possible journey, surprising even the most visionary viewer. The result is one of the most warm movies of the year, one of those movies that makes you come out with a smile and makes you forget about all your problems. If movies are a way to make you feel better, then doctors should be out giving prescriptions of Finding Nemo. Combining intelligence, entertainment and art into one is a gift that few have. Pixar does it a naturally as breathing. And once again the result is nothing short of amazing. Movie magic at its best.",positive
28,"Long have I loved this movie. This is the story of a lovable, yet over protective clown fish and his son, Marlon and Nemo respectively. On the first day of school, Nemo is taken off the reef by a dentist from Sydney. Marlon sets out to rescue his son. On the way he quite literally runs into a Blue Dart named Dory. Dory has a disorder where she can not retain short term memories. The two set out together and hilarity ensues. This is a Disney owned movie so of course there are some touching moments as well as a happy ending, but the substance of the movie is phenomenal. The detail the animators put into it is fantastic. They also manage to squeeze in some Easter eggs, and not all of them are Pixar/Disney related. The great white shark is named Bruce, which was the nickname given to the animatronic shark in Jaws. To me there is no better film in the realm of animation out there, before or after.",positive
29,"There have always been three reasons why these animated Pixar films have appealed to us all so much. First, of course, is the fact that they are just plain so much fun. Second, is that they have a message that tugs on the heartstrings of young and old. Finally, they are full of humor for both the target children and the adults watching with them. ""Finding Nemo"" is no exception to any of those categories.For a basic plot summary, this movie sees young clownfish Nemo (Alexander Gould) accidentally become separated from his over-protective father Marlin (Albert Brooks). As Nemo has his own adventures in a tropical fish tank owned by a dentist, Marlin begins his quest to rescue his young son, along the way running into the memory-challenged Dory (Ellen Degeneres) who ultimately shows him a new perspective on life.Visually, ""Finding Nemo"" is stunning. Watching it on blu-ray is truly a visual treat, with the underwater landscapes and their various colors making this effort perhaps the best-looking Pixar flick ever.In terms of humor, ""Nemo"" has enough moments that will have the kids giggling as well as the adults chuckling. It can be a very serious movie at times, but it never forgets to mix a healthy dose of fun into the proceedings.The main plot line--Marlin looking for Nemo--turns out to be quite an emotional punchline, as Marlin slowly begins to discover the things he needs to do different if/when he finds his son.Overall, ""Finding Nemo"" deserves a place towards the highest ranking of Pixar endeavors. Though nothing may ever quite top ""Toy Story"", ""Nemo"" belongs on that ""1-B"" slot right along with ""WALL-E"" and ""Up"".",positive
30,"I may be one of the few people out there that doesn't love Finding Nemo, it was ok but it didn't really do anything for me.First and foremost, it is GORGEOUS. The colors are striking, the blue tones of the water are realistic at times mesmerizing and the movements of the various creatures are realistic and fluid.Most importantly though is the story. Nemo's journey is one of self discovery, of living with a disability and all of the hurdles that creates in your life. It's about the way it makes others look at you and how she overcomes that. Not with some miracle cure that instantly solves everything or erases the issue altogether in the end, but with honest to goodness character growth.",positive
31,"Finding Nemo may be my favorite Pixar movie. I've first seen it as a kid in 2003, and I instantly got obsessed with it and I've watched it numerous times.Finding Nemo is about a clownfish named Marlin and his son Nemo living in the ocean. Nemo is then captured by us humans, and Marlin is desperate to find his son, who is ""imprisoned"" in an aquarium in a dental clinic in Australia.The characters are perfectly voiced by Albert Brooks and Alexander Gould. Ellen is also charming as the voice of the hilarious Blue Hippo Tang with short-term memory loss named Dory. The movie is animated beautifully with a moving soundtrack composed by Thomas Newman.Finding Nemo is an unforgettable film that will still capture the hearts of many in the years to come.",positive
32,"An overprotective father attempts to find his kidnapped son, all the while learning about what it means to have a real relationship built on trust and mutual understanding.This movie feels perfect still today. No line or moment feels wasted. The film is perfectly entertaining. Every character feels real, fleshed out, and developed. For a movie about talking fish, it is surprising grounded in real human experiences and emotions.I would be hard pressed to find someone who would actively dislike this movie. It is a film that captures the complexities, joys, and sorrows of being human in a way that speaks to adults and children.",positive
33,Amazing family film grew up watching it and been loving it ever since.,positive
34,"AS A PROFESSIONAL PSYCHOPATH, I RELATE TO THE SHARKS, THE GIRL THAT SHAKES THE FISH, AND THE GUY THAT CAPTURES FISH. I TRIED TO CAPTURE SOMEONE IN A FOREST ONCE, AND BOY...HE WAS TOO POWERFUL. *CREE* OH YEAH, AND MY WIFE LEFT ME FOR SOMEONE WHO DOESN'T TELL JOKES. I PLAGIARIZED MARLIN, WHICH I THOUGHT WOULD BE COOL. SHE DIDN'T LIKE IT. AND NOW, WE ARE DIVORCED AND SHE WATCHED FINDING DORY IN THEATERS WITH MY KIDS WITHOUT ME.",positive
35,The lines are to dye laughing about...very intelligently written and well fitted to every character! It's a cartoon to not to miss out!!,positive
36,i like this movie so much and it is a great movie to watch with family or alone i enjoy the different types of Sea Animals in this movie the movie also has video games spun off of this as well and there are a lot of merchandise for this movie this movie is a collector's movie to have for future Children(s) to watch for generations and generations to come with family or friends this movie can be also watched alone as well what i did not like about the movie is how the girl in th movie that taps on the fish tank and annoying she is in the movie overall this movie has a great happy ending to see this movie can watched over and over and over again so much this movie brings memories back from 2003,positive
